unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CLV_PCH_PRE_HAB,B1GQ,EA19	3.5 	1.8 	0.4 	0.1 	1.7 	1.1 	2.8 	2.4 	-0.1 	-4.8 	1.9 	1.4 	-1.1 	-0.5 	1.2 	1.8 	1.6 	2.3 	1.7 	1.0 
CLV_PCH_PRE_HAB,B1GQ,EE	8.4 	6.6 	7.5 	8.2 	7.5 	10.1 	10.4 	8.2 	-4.8 	-14.3 	2.9 	7.7 	3.5 	1.7 	3.3 	2.0 	2.4 	5.8 	4.5 	3.9 
CLV_PCH_PRE_HAB,B1GQ,EL	3.5 	3.6 	3.5 	5.5 	4.8 	0.3 	5.3 	3.0 	-0.6 	-4.6 	-5.6 	-9.0	-6.8	-2.5	1.4	0.2	0.2	1.7	2.1	2.1
CLV_PCH_PRE_HAB,B1GQ,ES	4.8 	3.4 	1.1 	1.1 	1.5 	1.7 	2.5 	1.6 	-0.8 	-4.6 	-0.3 	-1.2 	-3.0 	-1.1 	1.7 	3.9 	2.9 	2.7	1.9	1.2
CLV_PCH_PRE_HAB,B1GQ,EU27_2020	3.7 	2.0 	0.9 	0.5 	2.2 	1.5 	3.1 	2.8 	0.3 	-4.6 	2.0 	1.7 	-0.9 	-0.2 	1.4 	2.1 	1.8 	2.6 	2.0 	1.3 
CLV_PCH_PRE_HAB,B1GQ,EU28	3.6 	2.1 	1.1 	0.9 	2.1 	1.7 	3.0 	2.6 	0.1 	-4.6 	1.9 	1.6 	-0.7 	0.1 	1.5 	2.1 	1.7 	2.4 	1.8 	1.3 
CLV_PCH_PRE_HAB,B1GQ,FI	5.6 	2.4 	1.5 	1.8 	3.7 	2.4 	3.6 	4.9 	0.3 	-8.5 	2.7 	2.1 	-1.9 	-1.4 	-0.8 	0.2 	2.4 	2.9 	1.5 	0.9 
CLV_PCH_PRE_HAB,B1GQ,FR	3.2 	1.2 	0.4 	0.1 	2.1 	0.9 	1.7 	1.8 	-0.3 	-3.4 	1.4 	1.7 	-0.2 	0.1 	0.5 	0.7 	0.7 	1.9	1.4	1.6
CLV_PCH_PRE_HAB,B1GQ,HR	8.4 	3.2 	5.1 	5.6 	4.1 	4.2 	5.0 	5.3 	1.8 	-7.3 	-1.3 	0.0 	-1.9 	-0.2 	0.3 	3.1 	4.4 	4.2 	3.7	: 
CLV_PCH_PRE_HAB,B1GQ,HU	4.8 	4.3 	5.0 	4.4 	5.1 	4.5 	4.2 	0.4 	1.2 	-6.6 	0.9 	2.1 	-1.0 	2.2 	4.5 	4.1 	2.5 	4.6 	5.2 	5.0
CLV_PCH_PRE_HAB,B1GQ,IE	8.0 	3.7 	4.1 	1.3 	4.9 	3.3 	2.4 	2.2 	-6.5 	-6.0 	1.3 	-0.1 	-0.2 	0.9 	7.8 	24.0 	2.5 	6.9 	6.9 	4.1 
CLV_PCH_PRE_HAB,B1GQ,IS	3.4 	2.5 	-0.2 	1.7 	6.8 	5.1 	2.3 	6.9 	-0.6 	-6.7 	-3.1 	1.6 	0.8 	3.1 	1.0 	3.7 	5.2 	2.1 	1.1 	-0.3
CLV_PCH_PRE_HAB,B1GQ,IT	3.7 	1.9 	0.0 	-0.4 	0.7 	0.2 	1.4 	0.9 	-1.7 	-5.8 	1.3 	0.3 	-3.4 	-2.3 	-0.2 	0.9 	1.5 	1.8 	0.9 	0.4 
CLV_PCH_PRE_HAB,B1GQ,LT	4.6 	7.4 	7.6 	11.4 	7.8 	9.5 	9.1 	12.4 	3.7 	-13.9 	3.6	8.4 	5.2 	4.6 	4.4 	3.0 	3.9 	5.7 	4.6 	4.2 
CLV_PCH_PRE_HAB,B1GQ,LU	6.8 	1.4 	2.7 	0.4 	2.2 	1.6 	3.6 	6.6 	-3.0 	-6.1 	2.9 	0.2 	-2.6 	1.0 	1.9 	2.3 	1.9 	-0.4 	1.1 	0.2 
CLV_PCH_PRE_HAB,B1GQ,LV	6.6 	7.7 	8.4 	9.5 	9.5 	11.9 	12.9 	10.9 	-2.3 	-12.8 	-2.4 	8.3 	5.4 	3.4 	2.9 	4.1 	2.7 	4.8 	5.1 	2.9 
CLV_PCH_PRE_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	7.0 	-6.0 	2.5 	3.1 	-2.8 	3.4 	1.7 	3.3 	2.9 	4.7 	5.1 	: 
CLV_PCH_PRE_HAB,B1GQ,MK	: 	-3.5	2.2	1.9	4.4	4.5	5.0	6.3	5.3	-0.5	3.1	2.2	-0.6	2.8	3.5	3.7	2.7	1.0	: 	: 
CLV_PCH_PRE_HAB,B1GQ,MT	: 	-0.2 	2.2 	1.9 	-0.2 	3.1 	1.5 	3.6 	2.7 	-3.2 	3.0 	0.9 	1.9 	3.4 	6.6 	8.3 	3.4 	3.6 	3.6 	1.1 
CLV_PCH_PRE_HAB,B1GQ,NL	3.4 	1.6 	-0.4 	-0.3 	1.6 	1.8 	3.3 	3.5 	1.8 	-4.2 	0.8 	1.1 	-1.4 	-0.4 	1.1 	1.5 	1.7 	2.3	2.0	1.1
CLV_PCH_PRE_HAB,B1GQ,NO	2.5	1.6	0.9	0.3	3.4	1.9	1.6	1.9	-0.8	-3.0	-0.5	-0.3	1.4	-0.2	0.8	0.9	0.2	1.5	0.6	0.3
CLV_PCH_PRE_HAB,B1GQ,PL	4.6 	1.3 	2.1 	3.7 	5.2 	3.5 	6.3 	7.1 	4.2 	1.8 	3.5 	5.0 	1.6 	1.5 	3.4 	3.9 	3.1 	5.0 	: 	: 
CLV_PCH_PRE_HAB,B1GQ,PT	3.1 	1.2 	0.2 	-1.3 	1.5 	0.6 	1.4 	2.3 	0.2 	-3.2 	1.7 	-1.6 	-3.7 	-0.4 	1.3 	2.2 	2.3 	3.8 	2.8	2.2
CLV_PCH_PRE_HAB,B1GQ,RO	:	:	:	2.8 	11.1	5.3 	8.7 	8.8 	11.1 	-4.7 	-3.3 	2.5 	2.5 	3.9 	3.8 	4.4 	5.4 	7.7 	5.1	4.4
CLV_PCH_PRE_HAB,B1GQ,RS	6.5 	7.1 	6.4 	4.7 	9.3 	5.8 	5.5 	6.9 	6.1 	-2.3 	1.1 	2.8 	-0.2 	3.4 	-1.1 	2.3 	3.9 	2.6 	5.0 	4.5
CLV_PCH_PRE_HAB,B1GQ,SE	4.7 	1.2 	1.9 	1.9 	3.9 	2.5 	4.0 	2.7 	-1.0 	-5.0 	5.3 	2.3 	-1.4 	0.2 	1.7 	3.3 	1.1 	1.0 	1.0 	0.2 
CLV_PCH_PRE_HAB,B1GQ,SI	3.4 	3.1 	3.3 	2.9 	4.3 	3.6 	5.4 	6.4 	3.4	-8.4 	1.0 	0.7 	-2.8 	-1.2 	2.7 	2.1 	3.1 	4.8 	3.8 	1.6 
CLV_PCH_PRE_HAB,B1GQ,SK	1.1 	3.7 	4.5 	5.5 	5.2 	6.5 	8.4 	10.7 	5.4 	-5.7 	5.5 	3.5 	1.7 	0.5 	2.6 	4.7 	2.0 	2.9 	3.9 	2.1 
CLV_PCH_PRE_HAB,B1GQ,UK	3.1 	2.6 	1.9 	2.8 	1.8 	2.4 	2.1 	1.6 	-1.1 	-4.9 	1.1 	0.7 	0.8 	1.5 	1.8 	1.5 	1.1 	1.3 	0.7 	0.8 
